ㄱㄲㅋㅎ(두음)  か(두음)
ㄴ(두음)  な(두음)
ㄷㅌ(두음)  た(두음)
ㄹ(두음)  ら(두음)
ㅁ(두음)  ま(두음)
ㅂㅍ(두음)  は(두음)
ㅅㅆㅈㅊ(두음)  さ(두음)
ㅇ(두음)  あ(두음)
아와  あ(음절)
애외왜  あい(음절)
어여워  え(음절)
에예엄영  えい(음절)
오  お(음절)
압앙왱왕윙응  おう(음절)
야  や(음절)
요양엽잉  よう(음절)
유융읍입  ゆう(음절)
위웨의이  い(음절)
ㄱ(받침)  く(받침)
ㄴㅁ(받침)  ん(받침)
ㄹ(받침)  つ(받침)
ㅂㅇ(받침)  う(받침)
